Entity,Code,Year,International migrant stock (share of population) – World Bank
Australia,AUS,1970,19.64117694
Australia,AUS,1975,19.14239545
Australia,AUS,1980,19.71442962
Australia,AUS,1985,19.94847062
Australia,AUS,1990,20.98647532
Australia,AUS,1995,21.32434706
Australia,AUS,2000,21.02792252
Australia,AUS,2005,21.25956616
Australia,AUS,2010,21.38500119
Austria,AUT,1960,11.44574014
Austria,AUT,1965,10.24627112
Austria,AUT,1970,9.062156241
Austria,AUT,1975,9.513738334
Austria,AUT,1980,9.536583741
Austria,AUT,1985,9.627593445
Austria,AUT,1990,10.3315251
Austria,AUT,1995,12.44587821
Austria,AUT,2000,12.43885403
Austria,AUT,2005,14.05308739
Austria,AUT,2010,15.66608524
Azerbaijan,AZE,1990,5.037016343
Azerbaijan,AZE,1995,6.825217957
Azerbaijan,AZE,2000,4.31801804
Azerbaijan,AZE,2005,3.032811597
Azerbaijan,AZE,2010,2.915068721
Bahamas,BHS,1960,10.34548874
Bahamas,BHS,1965,13.39102743
Bahamas,BHS,1970,18.25503673
Bahamas,BHS,1975,14.40952552
Bahamas,BHS,1980,11.42979208
Bahamas,BHS,1985,10.83542125
Bahamas,BHS,1990,10.47640225
Bahamas,BHS,1995,10.12346913
Bahamas,BHS,2000,10.05468443
Bahamas,BHS,2005,9.607493553
Bahamas,BHS,2010,9.258099382
Bahrain,BHR,1960,16.45097569
Bahrain,BHR,1965,20.47366398
Bahrain,BHR,1970,17.80649642
Bahrain,BHR,1975,22.53286637
Bahrain,BHR,1980,28.7483815
Bahrain,BHR,1985,32.6761638
Bahrain,BHR,1990,34.92329779
Bahrain,BHR,1995,36.53823639
Bahrain,BHR,2000,35.89475973
Bahrain,BHR,2005,32.08321896
Bahrain,BHR,2010,25.00580741
Bangladesh,BGD,1960,1.372202007
Bangladesh,BGD,1965,1.227125915
Bangladesh,BGD,1970,1.117607252
Bangladesh,BGD,1975,1.078750473
Bangladesh,BGD,1980,0.988796347
Bangladesh,BGD,1985,0.905395207
Bangladesh,BGD,1990,0.831846493
Bangladesh,BGD,1995,0.84984123
Bangladesh,BGD,2000,0.752473674
Bangladesh,BGD,2005,0.721952111
Bangladesh,BGD,2010,0.715847561
Barbados,BRB,1960,4.226315744
Barbados,BRB,1965,4.861645133
Barbados,BRB,1970,5.618659644
Barbados,BRB,1975,6.44222523
Barbados,BRB,1980,7.403339453
Barbados,BRB,1985,7.808806349
Barbados,BRB,1990,8.215874089
Barbados,BRB,1995,8.641616534
Barbados,BRB,2000,9.082857122
Barbados,BRB,2005,9.573998314
Barbados,BRB,2010,10.04413985
Belarus,BLR,1990,12.25809206
Belarus,BLR,1995,11.62079655
Belarus,BLR,2000,11.23024488
Belarus,BLR,2005,11.45458967
Belarus,BLR,2010,11.48975764
Belgium,BEL,1960,4.823898297
Belgium,BEL,1965,6.412514303
Belgium,BEL,1970,7.201672323
Belgium,BEL,1975,8.368800188
Belgium,BEL,1980,9.096267238
Belgium,BEL,1985,8.84351554
Belgium,BEL,1990,8.94454801
Belgium,BEL,1995,9.031785243
Belgium,BEL,2000,8.574739666
Belgium,BEL,2005,8.417904767
Belgium,BEL,2010,8.926966288
Belize,BLZ,1960,8.277577443
Belize,BLZ,1965,8.321632853
Belize,BLZ,1970,8.345951432
Belize,BLZ,1975,8.219208921
Belize,BLZ,1980,9.614223973
Belize,BLZ,1985,15.56731912
Belize,BLZ,1990,16.21097082
Belize,BLZ,1995,18.57877291
Belize,BLZ,2000,14.75383321
Belize,BLZ,2005,14.34380946
Belize,BLZ,2010,14.55400813
Benin,BEN,1960,1.399026164
Benin,BEN,1965,1.473088787
Benin,BEN,1970,1.538980572
Benin,BEN,1975,1.544089276
Benin,BEN,1980,1.544637689
Benin,BEN,1985,1.579399258
Benin,BEN,1990,1.523852637
Benin,BEN,1995,2.441469259
Benin,BEN,2000,1.924348207
Benin,BEN,2005,2.292540956
Benin,BEN,2010,2.439967705
Bermuda,BMU,1960,19.70495495
Bermuda,BMU,1965,22.12175649
Bermuda,BMU,1970,25.92363636
Bermuda,BMU,1975,27.04716981
Bermuda,BMU,1980,25.95390525
Bermuda,BMU,1985,26.21709023
Bermuda,BMU,1990,26.43528975
Bermuda,BMU,1995,27.83617313
Bermuda,BMU,2000,28.57373894
Bermuda,BMU,2005,29.25928235
Bermuda,BMU,2010,30.62158344
Bhutan,BTN,1960,4.317561176
Bhutan,BTN,1965,4.450399598
Bhutan,BTN,1970,4.48196475
Bhutan,BTN,1975,4.347178544
Bhutan,BTN,1980,4.274519404
Bhutan,BTN,1985,4.368776785
Bhutan,BTN,1990,4.445710124
Bhutan,BTN,1995,5.435284547
Bhutan,BTN,2000,5.696161025
Bhutan,BTN,2005,5.734048157
Bhutan,BTN,2010,5.587813053
Bolivia,BOL,1960,1.156344026
Bolivia,BOL,1965,1.153248055
Bolivia,BOL,1970,1.145175058
Bolivia,BOL,1975,1.132203386
Bolivia,BOL,1980,1.046251842
Bolivia,BOL,1985,0.950374858
Bolivia,BOL,1990,0.869134509
Bolivia,BOL,1995,0.919804576
Bolivia,BOL,2000,1.067904213
Bolivia,BOL,2005,1.24878841
Bolivia,BOL,2010,1.470189535
Bosnia and Herzegovina,BIH,1990,1.237023404
Bosnia and Herzegovina,BIH,1995,1.890068203
Bosnia and Herzegovina,BIH,2000,2.531085893
Bosnia and Herzegovina,BIH,2005,0.916711297
Bosnia and Herzegovina,BIH,2010,0.724331975
Botswana,BWA,1960,1.373778932
Botswana,BWA,1965,1.452812548
Botswana,BWA,1970,1.501253209
Botswana,BWA,1975,1.521479169
Botswana,BWA,1980,1.509137024
Botswana,BWA,1985,1.693574157
Botswana,BWA,1990,1.993746983
Botswana,BWA,1995,2.476636611
Botswana,BWA,2000,3.2211031
Botswana,BWA,2005,4.299778487
Botswana,BWA,2010,5.607786971
Brazil,BRA,1960,1.927231216
Brazil,BRA,1965,1.562963327
Brazil,BRA,1970,1.283394997
Brazil,BRA,1975,1.079515945
Brazil,BRA,1980,0.9106682
Brazil,BRA,1985,0.690285485
Brazil,BRA,1990,0.530953063
Brazil,BRA,1995,0.448844433
Brazil,BRA,2000,0.389447557
Brazil,BRA,2005,0.364129758
Brazil,BRA,2010,0.346413284
Brunei,BRN,1960,25.12923923
Brunei,BRN,1965,25.3967325
Brunei,BRN,1970,25.36287183
Brunei,BRN,1975,25.51757163
Brunei,BRN,1980,26.40515495
Brunei,BRN,1985,27.51592699
Brunei,BRN,1990,28.48925231
Brunei,BRN,1995,29.59391207
Brunei,BRN,2000,31.5010558
Brunei,BRN,2005,34.31798148
Brunei,BRN,2010,37.66138998
Bulgaria,BGR,1960,0.257964093
Bulgaria,BGR,1965,0.253322458
Bulgaria,BGR,1970,0.249588495
Bulgaria,BGR,1975,0.246687725
Bulgaria,BGR,1980,0.24498013
Bulgaria,BGR,1985,0.24380208
Bulgaria,BGR,1990,0.246722723
Bulgaria,BGR,1995,0.554480472
Bulgaria,BGR,2000,1.236204085
Bulgaria,BGR,2005,1.344668536
Bulgaria,BGR,2010,1.450119186
Burkina Faso,BFA,1960,1.303359023
Burkina Faso,BFA,1965,1.448944891
Burkina Faso,BFA,1970,1.588060442
Burkina Faso,BFA,1975,1.728884071
Burkina Faso,BFA,1980,2.498768841
Burkina Faso,BFA,1985,3.53596159
Burkina Faso,BFA,1990,3.912583235
Burkina Faso,BFA,1995,4.59607234
Burkina Faso,BFA,2000,4.934801546
Burkina Faso,BFA,2005,5.757845985
Burkina Faso,BFA,2010,6.672406578
Burundi,BDI,1960,4.53300272
Burundi,BDI,1965,5.99645863
Burundi,BDI,1970,4.160118573
Burundi,BDI,1975,3.800417243
Burundi,BDI,1980,5.423206441
Burundi,BDI,1985,7.19286641
Burundi,BDI,1990,5.934466995
Burundi,BDI,1995,4.728876123
Burundi,BDI,2000,1.136429295
Burundi,BDI,2005,1.028028867
Burundi,BDI,2010,0.642313165
Cambodia,KHM,1960,6.662816281
Cambodia,KHM,1965,5.777233286
Cambodia,KHM,1970,4.874864447
Cambodia,KHM,1975,0.192677743
Cambodia,KHM,1980,0.062040049
Cambodia,KHM,1985,0.163333254
Cambodia,KHM,1990,0.425969735
Cambodia,KHM,1995,1.088797479
Cambodia,KHM,2000,1.940128243
Cambodia,KHM,2005,2.28130388
Cambodia,KHM,2010,2.338058198
Cameroon,CMR,1960,3.27211325
Cameroon,CMR,1965,3.139050225
Cameroon,CMR,1970,2.974095133
Cameroon,CMR,1975,2.787435874
Cameroon,CMR,1980,2.587929563
Cameroon,CMR,1985,2.385691764
Cameroon,CMR,1990,2.198310754
Cameroon,CMR,1995,1.767254206
Cameroon,CMR,2000,1.433871894
Cameroon,CMR,2005,1.16886419
Cameroon,CMR,2010,0.954655862
Canada,CAN,1960,15.44643816
Canada,CAN,1965,15.34989328
Canada,CAN,1970,15.24738792
Canada,CAN,1975,15.15724503
Canada,CAN,1980,15.49456349
Canada,CAN,1985,15.0356873
Canada,CAN,1990,16.18337231
Canada,CAN,1995,17.19388499
Canada,CAN,2000,18.05353643
Canada,CAN,2005,19.50985392
Canada,CAN,2010,21.18006754
Cape Verde,CPV,1960,3.268649044
Cape Verde,CPV,1965,3.004403116
Cape Verde,CPV,1970,2.705433443
Cape Verde,CPV,1975,2.819407503
Cape Verde,CPV,1980,2.829141559
Cape Verde,CPV,1985,2.705620812
Cape Verde,CPV,1990,2.617096842
Cape Verde,CPV,1995,2.473558162
Cape Verde,CPV,2000,2.364742431
Cape Verde,CPV,2005,2.358168292
Cape Verde,CPV,2010,2.457894812
Caribbean small states,,1960,4.483142877
Caribbean small states,,1965,4.041120618
Caribbean small states,,1970,3.89582727
Caribbean small states,,1975,3.538928816
Caribbean small states,,1980,3.310333356
Caribbean small states,,1985,3.357633933
Caribbean small states,,1990,3.413195293
Caribbean small states,,1995,3.610272976
Caribbean small states,,2000,3.688620847
Caribbean small states,,2005,3.940134162
Caribbean small states,,2010,4.180262829
Cayman Islands,CYM,1960,12.16473878
Cayman Islands,CYM,1965,14.57412496
Cayman Islands,CYM,1970,17.34470691
Cayman Islands,CYM,1975,25.07762706
Cayman Islands,CYM,1980,35.39965355
Cayman Islands,CYM,1985,44.43696609
Cayman Islands,CYM,1990,50.82570275
Cayman Islands,CYM,1995,56.9493559
Cayman Islands,CYM,2000,57.38275159
Cayman Islands,CYM,2005,69.81058347
Cayman Islands,CYM,2010,64.28507089
Central African Republic,CAF,1960,2.86850491
Central African Republic,CAF,1965,2.784095389
Central African Republic,CAF,1970,2.671883459
Central African Republic,CAF,1975,2.577948913
Central African Republic,CAF,1980,2.434155125
Central African Republic,CAF,1985,2.242462579
Central African Republic,CAF,1990,2.134669375
Central African Republic,CAF,1995,2.001025229
Central African Republic,CAF,2000,1.906792398
Central African Republic,CAF,2005,1.8646526
Central African Republic,CAF,2010,1.810854644
Central Europe and the Baltics,,1960,4.999098879
Central Europe and the Baltics,,1965,4.468595474
Central Europe and the Baltics,,1970,3.945143458
Central Europe and the Baltics,,1975,3.312643659
Central Europe and the Baltics,,1980,2.76115378
Central Europe and the Baltics,,1985,2.325487895
Central Europe and the Baltics,,1990,3.734798515
Central Europe and the Baltics,,1995,3.670979839
Central Europe and the Baltics,,2000,3.329750121
Central Europe and the Baltics,,2005,3.34011879
Central Europe and the Baltics,,2010,3.376035658
Chad,TCD,1960,1.834146186
Chad,TCD,1965,1.748637313
Chad,TCD,1970,1.669862447
Chad,TCD,1975,1.564886822
Chad,TCD,1980,1.490583995
Chad,TCD,1985,1.388589438
Chad,TCD,1990,1.2477631
Chad,TCD,1995,1.117724805
Chad,TCD,2000,1.256394186
Chad,TCD,2005,3.560274344
Chad,TCD,2010,3.26360624
Channel Islands,OWID_CIS,1960,30.59980442
Channel Islands,OWID_CIS,1965,34.55805621
Channel Islands,OWID_CIS,1970,38.91630087
Channel Islands,OWID_CIS,1975,39.77313178
Channel Islands,OWID_CIS,1980,40.94202616
Channel Islands,OWID_CIS,1985,28.97521748
Channel Islands,OWID_CIS,1990,28.57132702
Channel Islands,OWID_CIS,1995,39.78687956
Channel Islands,OWID_CIS,2000,42.11127921
Channel Islands,OWID_CIS,2005,44.35637533
Channel Islands,OWID_CIS,2010,46.86589424
Chile,CHL,1960,1.361865834
Chile,CHL,1965,1.132723662
Chile,CHL,1970,0.944072853
Chile,CHL,1975,0.825145217
Chile,CHL,1980,0.729041492
Chile,CHL,1985,0.744067676
Chile,CHL,1990,0.818045412
Chile,CHL,1995,0.957039129
Chile,CHL,2000,1.168935242
Chile,CHL,2005,1.438169657
Chile,CHL,2010,1.883021429
China,CHN,1960,0.036830318
China,CHN,1965,0.036421206
China,CHN,1970,0.034266022
China,CHN,1975,0.032570453
China,CHN,1980,0.031714523
China,CHN,1985,0.030820616
China,CHN,1990,0.033154155
China,CHN,1995,0.036292251
China,CHN,2000,0.040235696
China,CHN,2005,0.045274445
China,CHN,2010,0.05126504
Colombia,COL,1960,0.356029326
Colombia,COL,1965,0.391334826
Colombia,COL,1970,0.360773437
Colombia,COL,1975,0.342513657
Colombia,COL,1980,0.327522933
Colombia,COL,1985,0.313852655
Colombia,COL,1990,0.304266835
Colombia,COL,1995,0.291830186
Colombia,COL,2000,0.271282822
Colombia,COL,2005,0.254017291
Colombia,COL,2010,0.240203749
Comoros,COM,1960,0.798486743
Comoros,COM,1965,1.040835005
Comoros,COM,1970,1.582013894
Comoros,COM,1975,2.769313602
Comoros,COM,1980,4.750128031
Comoros,COM,1985,4.01533004
Comoros,COM,1990,3.391353362
Comoros,COM,1995,2.906329367
Comoros,COM,2000,2.519463352
Comoros,COM,2005,2.208259515
Comoros,COM,2010,1.935751651
Congo,COG,1960,2.596240458
Congo,COG,1965,2.96431918
Congo,COG,1970,3.353406886
Congo,COG,1975,3.752105813
Congo,COG,1980,4.227813029
Congo,COG,1985,4.768367786
Congo,COG,1990,5.430496211
Congo,COG,1995,4.800577082
Congo,COG,2000,3.372496879
Congo,COG,2005,3.677842908
Congo,COG,2010,3.521895055
Costa Rica,CRI,1960,2.452510874
Costa Rica,CRI,1965,2.017645671
Costa Rica,CRI,1970,1.375540667
Costa Rica,CRI,1975,1.390715215
Costa Rica,CRI,1980,2.873508617
Costa Rica,CRI,1985,4.27601181
Costa Rica,CRI,1990,13.48930263
Costa Rica,CRI,1995,6.503642203
Costa Rica,CRI,2000,7.92128291
Costa Rica,CRI,2005,10.42053579
Costa Rica,CRI,2010,10.76285187
Cote d'Ivoire,CIV,1960,22.07424244
Cote d'Ivoire,CIV,1965,22.65806013
Cote d'Ivoire,CIV,1970,22.73635165
Cote d'Ivoire,CIV,1975,21.0614715
Cote d'Ivoire,CIV,1980,18.39796727
Cote d'Ivoire,CIV,1985,16.36138611
Cote d'Ivoire,CIV,1990,14.93045855
Cote d'Ivoire,CIV,1995,13.78201292
Cote d'Ivoire,CIV,2000,14.14438404
Cote d'Ivoire,CIV,2005,13.07735052
Cote d'Ivoire,CIV,2010,11.95483821
Croatia,HRV,1990,9.946401674
Croatia,HRV,1995,15.441722
Croatia,HRV,2000,13.91540895
Croatia,HRV,2005,14.8889014
Croatia,HRV,2010,15.84385917
Cuba,CUB,1960,2.011110568
Cuba,CUB,1965,1.717973302
Cuba,CUB,1970,1.491086242
Cuba,CUB,1975,0.988690404
Cuba,CUB,1980,0.681329884
Cuba,CUB,1985,0.47723939
Cuba,CUB,1990,0.326542546
Cuba,CUB,1995,0.227515962
Cuba,CUB,2000,0.160280124
Cuba,CUB,2005,0.136186211
Cuba,CUB,2010,0.134938278
Cyprus,CYP,1960,5.164514277
Cyprus,CYP,1965,5.591156874
Cyprus,CYP,1970,5.619936801
Cyprus,CYP,1975,5.63443144
Cyprus,CYP,1980,5.670507699
Cyprus,CYP,1985,5.863636557
Cyprus,CYP,1990,5.714110546
Cyprus,CYP,1995,6.453555049
Cyprus,CYP,2000,8.489038861
Cyprus,CYP,2005,11.24913567
Cyprus,CYP,2010,13.9761798
Czech Republic,CZE,1990,4.108036548
Czech Republic,CZE,1995,4.393356104
Czech Republic,CZE,2000,4.422098626
Czech Republic,CZE,2005,4.438893468
Czech Republic,CZE,2010,4.325217363
Democratic Republic of Congo,COD,1960,6.603579192
Democratic Republic of Congo,COD,1965,7.613619662
Democratic Republic of Congo,COD,1970,7.119380195
Democratic Republic of Congo,COD,1975,5.31982958
Democratic Republic of Congo,COD,1980,4.569364505
Democratic Republic of Congo,COD,1985,2.418832465
Democratic Republic of Congo,COD,1990,2.157140374
Democratic Republic of Congo,COD,1995,4.549035858
Democratic Republic of Congo,COD,2000,1.282928491
Democratic Republic of Congo,COD,2005,0.855961797
Democratic Republic of Congo,COD,2010,0.67437168
Denmark,DNK,1960,2.052339471
Denmark,DNK,1965,2.100309896
Denmark,DNK,1970,2.382791442
Denmark,DNK,1975,2.740865265
Denmark,DNK,1980,3.196723343
Denmark,DNK,1985,3.82879998
Denmark,DNK,1990,4.574825727
Denmark,DNK,1995,5.682759475
Denmark,DNK,2000,6.948552106
Denmark,DNK,2005,7.765223367
Denmark,DNK,2010,8.71920764
Djibouti,DJI,1960,14.06810464
Djibouti,DJI,1965,13.81574942
Djibouti,DJI,1970,13.42794691
Djibouti,DJI,1975,12.90960024
Djibouti,DJI,1980,22.35067974
Djibouti,DJI,1985,15.86605899
Djibouti,DJI,1990,20.77330732
Djibouti,DJI,1995,15.91224005
Djibouti,DJI,2000,15.25142479
Djibouti,DJI,2005,14.17422271
Djibouti,DJI,2010,13.73937472
Dominica,DMA,1960,3.982271394
Dominica,DMA,1965,3.411851533
Dominica,DMA,1970,2.899712983
Dominica,DMA,1975,2.653590601
Dominica,DMA,1980,2.35948641
Dominica,DMA,1985,2.813688213
Dominica,DMA,1990,3.551488834
Dominica,DMA,1995,4.291899617
Dominica,DMA,2000,5.343073236
Dominica,DMA,2005,6.416035837
Dominica,DMA,2010,7.729706184
Dominican Republic,DOM,1960,4.389231579
Dominican Republic,DOM,1965,4.330576919
Dominican Republic,DOM,1970,4.334023078
Dominican Republic,DOM,1975,4.188228432
Dominican Republic,DOM,1980,4.103354793
Dominican Republic,DOM,1985,4.059960021
Dominican Republic,DOM,1990,4.052969759
Dominican Republic,DOM,1995,4.076962453
Dominican Republic,DOM,2000,4.153061509
Dominican Republic,DOM,2005,4.254476153
Dominican Republic,DOM,2010,4.38819707
East Asia & Pacific (all income levels),,1960,0.853820288
East Asia & Pacific (all income levels),,1965,0.80637972
East Asia & Pacific (all income levels),,1970,0.7644748
East Asia & Pacific (all income levels),,1975,0.685184133
East Asia & Pacific (all income levels),,1980,0.678965528
East Asia & Pacific (all income levels),,1985,0.655411975
East Asia & Pacific (all income levels),,1990,0.661007853
East Asia & Pacific (all income levels),,1995,0.69622715
East Asia & Pacific (all income levels),,2000,0.768968594
East Asia & Pacific (all income levels),,2005,0.821444221
East Asia & Pacific (all income levels),,2010,0.880296871
East Asia & Pacific (developing only),,1960,0.407665541
East Asia & Pacific (developing only),,1965,0.343907502
East Asia & Pacific (developing only),,1970,0.315833574
East Asia & Pacific (developing only),,1975,0.230459777
East Asia & Pacific (developing only),,1980,0.210170583
East Asia & Pacific (developing only),,1985,0.184181994
East Asia & Pacific (developing only),,1990,0.172645234
East Asia & Pacific (developing only),,1995,0.177664511
East Asia & Pacific (developing only),,2000,0.222024676
East Asia & Pacific (developing only),,2005,0.250128446
East Asia & Pacific (developing only),,2010,0.276704395
Ecuador,ECU,1960,0.529331117
Ecuador,ECU,1965,0.625261899
Ecuador,ECU,1970,0.737535652
Ecuador,ECU,1975,0.848885987
Ecuador,ECU,1980,0.882021561
Ecuador,ECU,1985,0.853075351
Ecuador,ECU,1990,0.769840924
Ecuador,ECU,1995,0.772242586
Ecuador,ECU,2000,0.802559524
Ecuador,ECU,2005,0.900072165
Ecuador,ECU,2010,2.635749033
Egypt,EGY,1960,0.784474312
Egypt,EGY,1965,0.67410074
Egypt,EGY,1970,0.584665875
Egypt,EGY,1975,0.507634939
Egypt,EGY,1980,0.435533667
Egypt,EGY,1985,0.370479845
Egypt,EGY,1990,0.311316471
Egypt,EGY,1995,0.279174054
Egypt,EGY,2000,0.247529429
Egypt,EGY,2005,0.329247447
Egypt,EGY,2010,0.298282588
El Salvador,SLV,1960,1.246734858
El Salvador,SLV,1965,1.077375061
El Salvador,SLV,1970,0.886825245
El Salvador,SLV,1975,0.746541612
El Salvador,SLV,1980,0.649214898
El Salvador,SLV,1985,0.574240815
El Salvador,SLV,1990,0.901737635
El Salvador,SLV,1995,0.505229888
El Salvador,SLV,2000,0.545662335
El Salvador,SLV,2005,0.602989034
El Salvador,SLV,2010,0.667803189
Equatorial Guinea,GNQ,1960,7.675465561
Equatorial Guinea,GNQ,1965,5.185077962
Equatorial Guinea,GNQ,1970,3.467111256
Equatorial Guinea,GNQ,1975,3.056581598
Equatorial Guinea,GNQ,1980,2.382992226
Equatorial Guinea,GNQ,1985,1.207034195
Equatorial Guinea,GNQ,1990,0.726091323
Equatorial Guinea,GNQ,1995,0.784686349
Equatorial Guinea,GNQ,2000,0.850825774
Equatorial Guinea,GNQ,2005,0.926715942
Equatorial Guinea,GNQ,2010,1.021942885
Eritrea,ERI,1960,0.547231483
Eritrea,ERI,1965,0.520140172
Eritrea,ERI,1970,0.492722157
Eritrea,ERI,1975,0.463011045
Eritrea,ERI,1980,0.433037538
Eritrea,ERI,1985,0.400508908
Eritrea,ERI,1990,0.377435066
Eritrea,ERI,1995,0.378560062
Eritrea,ERI,2000,0.366377042
Eritrea,ERI,2005,0.348629164
Eritrea,ERI,2010,0.351496397
Estonia,EST,1990,24.34382675
Estonia,EST,1995,21.48967656
Estonia,EST,2000,17.86075012
Estonia,EST,2005,14.88468565
Estonia,EST,2010,13.70389981
Ethiopia,ETH,1960,1.775342557
Ethiopia,ETH,1965,1.533372851
Ethiopia,ETH,1970,1.388639852
Ethiopia,ETH,1975,1.203867327
Ethiopia,ETH,1980,1.146970199
Ethiopia,ETH,1985,1.431376405
Ethiopia,ETH,1990,2.404202801
Ethiopia,ETH,1995,1.388374412
Ethiopia,ETH,2000,0.997001924
Ethiopia,ETH,2005,0.723185415
Ethiopia,ETH,2010,0.625825317
Euro area,,1960,3.399363182
Euro area,,1965,3.903905936
Euro area,,1970,4.344019173
Euro area,,1975,4.684058473
Euro area,,1980,5.02783195
Euro area,,1985,5.319243323
Euro area,,1990,6.37816068
Euro area,,1995,7.632434868
Euro area,,2000,8.375565191
Euro area,,2005,9.826070031
Euro area,,2010,10.94033327
Europe & Central Asia (all income levels),,1990,6.969404207
Europe & Central Asia (all income levels),,1995,7.410713656
Europe & Central Asia (all income levels),,2000,7.594383076
Europe & Central Asia (all income levels),,2005,8.244542026
Europe & Central Asia (all income levels),,2010,8.682766125
Europe & Central Asia (developing only),,1990,7.809342689
Europe & Central Asia (developing only),,1995,7.332083339
Europe & Central Asia (developing only),,2000,6.605611784
Europe & Central Asia (developing only),,2005,6.239008526
Europe & Central Asia (developing only),,2010,5.861108041
European Union,,1960,3.69317529
European Union,,1965,4.154619581
European Union,,1970,4.439953157
European Union,,1975,4.565457001
European Union,,1980,4.715266387
European Union,,1985,4.845449928
European Union,,1990,5.677475181
European Union,,1995,6.651807452
European Union,,2000,7.269384896
European Union,,2005,8.514526788
European Union,,2010,9.437902675
Faeroe Islands,FRO,1960,4.34541528
Faeroe Islands,FRO,1965,4.719082584
Faeroe Islands,FRO,1970,5.126078731
Faeroe Islands,FRO,1975,5.625601421
