,Bahamas,Costa Rica,Cyprus,Egypt,French Polynesia,China,South Korea,France,Slovakia,Antigua and Barbuda,Armenia,Cambodia,Panama,Guyana,East Asia & Pacific (all income levels),Japan,Vanuatu,New Zealand,Bulgaria,East Asia & Pacific (developing only),Lebanon,Saudi Arabia,Bermuda,Isle of Man,Greenland,Afghanistan,Norway,South Africa,Germany,Dominica,Solomon Islands,Montenegro,Nicaragua,South Asia,Burundi,Bahrain,Serbia,New Caledonia,Cameroon,Nepal,Georgia,Oman,Papua New Guinea,Switzerland,Laos,Comoros,Liberia,Lithuania,Morocco,Philippines,Mauritius,Zambia,Faeroe Islands,Iran,Czech Republic,Syria,Seychelles,Fiji,Jordan,Cayman Islands,Pakistan,Turkmenistan,Sao Tome and Principe,Cote d'Ivoire,Tunisia,Argentina,Grenada,Swaziland,Ghana,Thailand,Yemen,Canada,Botswana,Channel Islands,San Marino,Namibia,Macao,Latvia,Guatemala,Qatar,Poland,Azerbaijan,Nigeria,Moldova,Saint Lucia,United States Virgin Islands,Mongolia,Equatorial Guinea,American Samoa,Israel,Sri Lanka,Saint Kitts and Nevis,Democratic Republic of Congo,Bhutan,Russia,Tanzania,Haiti,Guinea,Kiribati,Palestine,Belize,Niger,Europe & Central Asia (developing only),Monaco,Iraq,Middle East & North Africa (developing only),Saint Vincent and the Grenadines,High income: OECD,Central African Republic,Estonia,Croatia,Chile,Gabon,Sub-Saharan Africa (developing only),Colombia,Belgium,Tonga,High income: nonOECD,United Arab Emirates,Kuwait,Aruba,Europe & Central Asia (all income levels),Sweden,Congo,Guinea-Bissau,Venezuela,Paraguay,Ireland,Malawi,Barbados,Bosnia and Herzegovina,Maldives,Brunei,Latin America & Caribbean (all income levels),Cape Verde,Italy,Sudan,Belarus,Uzbekistan,Middle East & North Africa (all income levels),Marshall Islands,Somalia,Finland,Suriname,Mozambique,Zimbabwe,Peru,Mauritania,Ukraine,Benin,Madagascar,Vietnam,Hungary,Uganda,Austria,Samoa,Indonesia,Bolivia,Albania,Dominican Republic,United Kingdom,Gambia,Turks and Caicos Islands,Senegal,Trinidad and Tobago,Macedonia,Togo,India,Libya,Ecuador,Northern Mariana Islands,Bangladesh,Slovenia,Iceland,Latin America & Caribbean (developing only),Honduras,Romania,Djibouti,Brazil,Angola,Algeria,Australia,Spain,Burkina Faso,North America,Kenya,Luxembourg,Denmark,Chad,Jamaica,Palau,Singapore,United States,Hong Kong,Lesotho,Uruguay,Tuvalu,Cuba,Eritrea,Malta,Sierra Leone,Portugal,Netherlands,Ethiopia,Greece,Andorra,Turkey,Kazakhstan,Mali,Micronesia (country),Sub-Saharan Africa (all income levels),Tajikistan,Puerto Rico,El Salvador,Liechtenstein,Mexico,Timor,Rwanda,North Korea,Guam,Kyrgyzstan,Myanmar,Malaysia
1970,18.25503673,1.375540667,5.619936801,0.584665875,7.415653055,0.034266022,0.557904423,10.01311903,,10.57687895,,4.874864447,3.854490214,1.828020835,0.7644748,0.694943696,3.869396168,14.56740314,0.249588495,0.315833574,8.306857787,6.116722072,25.92363636,45.44893497,15.57112069,0.477030279,2.025588252,4.353221352,,2.899712983,2.547850173,,0.871358307,2.315614986,4.160118573,17.80649642,,20.88571429,2.974095133,2.882203632,,8.676383229,2.043532101,17.66723395,0.770208766,1.582013894,3.493979128,,0.786465997,0.607280083,1.273244552,7.250599587,5.126078731,0.302184775,,5.765345907,4.675373134,3.149488309,35.25311671,17.34470691,8.78840327,,9.527144416,22.73635165,1.003237761,9.257937096,3.325214445,7.573501045,4.094148443,0.941832208,3.200414409,15.24738792,1.501253209,38.91630087,41.35660535,5.59056672,38.84747626,,0.751781545,62.50766036,6.392382509,,0.281186202,,2.81964632,53.4984127,0.351963717,3.467111256,26.55723289,47.36866174,8.67366949,6.093756963,7.119380195,4.48196475,,3.712784179,0.236374035,0.40038506,1.146909986,,8.345951432,1.651059345,,66.13013115,0.754891469,1.679003073,2.534906088,5.122196264,2.671883459,,,0.944072853,6.844551692,3.181812844,0.360773437,7.201672323,0.545217494,,27.95985287,61.76697983,12.64031152,,6.55434593,3.353406886,1.719656996,5.085392705,2.953031039,4.409874038,6.352879692,5.618659644,,1.655963977,25.36287183,2.002598099,2.705433443,1.602613065,2.017110409,,,3.327904565,5.074275629,0.378502476,0.705358978,4.388743441,0.084117193,9.585846869,0.502988103,1.754970807,,1.538980572,1.104024892,0.010374687,4.22985884,10.04523173,9.062156241,2.355858215,1.01904666,1.145175058,2.53081393,4.334023078,5.292353573,10.81843039,8.327414773,4.17086914,6.394847336,,6.850085629,1.657483939,5.778228263,0.737535652,27.08475347,1.117607252,,2.403662724,1.000226256,0.766355703,1.401636649,13.42794691,1.283394997,0.772214559,1.161158878,19.64117694,1.051994481,1.588060442,6.730261316,1.413414624,17.29157269,2.382791442,1.669862447,1.3964687,3.745318352,25.59040733,5.839390496,43.33099267,0.407366504,5.693005087,4.865679825,1.491086242,0.492722157,3.436642987,3.005945148,1.17082896,2.004843185,1.388639852,1.018696421,55.38119362,1.082461936,,2.765537247,8.614262693,3.182378496,,6.952133922,0.886825245,32.97282046,0.375494002,1.378047142,0.952418748,0.198245711,45.07153076,,1.003399648,6.749910209
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,14.40952552,1.390715215,5.63443144,0.507634939,9.379952381,0.032570453,0.865274169,10.26986111,,11.46665126,,0.192677743,3.024913377,1.21310461,0.685184133,0.688174022,3.573323722,15.98576108,0.246687725,0.230459777,8.097510068,12.50321557,27.04716981,45.58015129,17.28024194,0.45333552,2.460426725,3.891827079,,2.653590601,2.213526185,,0.810763072,1.952637869,3.800417243,22.53286637,,24.23245283,2.787435874,2.248644551,,8.540163529,1.554974709,17.18356579,0.697111157,2.769313602,3.904876168,,0.506754164,0.392407056,1.14338565,5.961689474,5.625601421,0.480181286,,5.675436277,4.922818792,2.613806643,37.3280663,25.07762706,6.848698223,,8.352803031,21.0614715,0.675672786,7.918828326,3.004769991,5.363566041,3.913823542,0.814256229,3.226710003,15.15724503,1.521479169,39.77313178,41.1260896,6.099065088,43.41472848,,0.612395425,72.52469072,5.315209239,,1.108110396,,2.930673226,42.96808511,0.336228162,3.056581598,36.22544434,41.85939219,6.563981921,6.016531912,5.31982958,4.347178544,,3.803985729,0.235742381,0.472849841,1.397523972,,8.219208921,1.668352662,,64.66410063,0.609512447,1.725223514,2.299872404,5.376600843,2.577948913,,,0.825145217,9.525194738,2.983510825,0.342513657,8.368800188,1.013050811,,58.80304556,63.18152717,11.9726321,,7.055946845,3.752105813,1.612240232,5.474318217,3.616277387,5.374708031,5.476933262,6.44222523,,1.506222789,25.51757163,1.770631376,2.819407503,1.815216143,1.987137763,,,3.84707995,4.472243941,0.361972762,0.750343844,3.826819725,0.355703988,7.855035522,0.440559526,1.962313171,,1.544089276,0.707401254,0.009704351,3.811128952,7.154123216,9.513738334,2.47187597,0.710152047,1.132203386,2.362577661,4.188228432,5.598812289,11.55506938,11.54903758,3.159112016,6.039820581,,6.164170448,1.449442694,8.52101475,0.848885987,27.27809874,1.078750473,,2.421792925,0.877417298,0.464454016,1.12256824,12.90960024,1.079515945,0.432187372,0.959279789,19.14239545,1.310251902,1.728884071,7.324818275,1.190190803,19.51748154,2.740865265,1.564886822,1.221957278,4.071661238,23.38044727,6.478286175,42.2380312,0.433125343,4.644452705,4.515289525,0.988690404,0.463011045,2.663844166,3.389150928,1.806571089,2.515319579,1.203867327,1.364853152,60.64938449,0.36883157,,2.514672316,7.972001394,2.983914924,,7.582732131,0.746541612,34.46127587,0.378407955,1.353165043,1.072039927,0.186454592,47.02208797,,0.867651731,5.831008054
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,11.42979208,2.873508617,5.670507699,0.435533667,11.87525543,0.031714523,1.387087192,10.64428941,,12.97278844,,0.062040049,2.42063101,0.808910088,0.678965528,0.687111027,3.036304201,15.11111825,0.24498013,0.210170583,9.264482243,19.37349016,25.95390525,45.97898876,17.56972112,0.446742559,3.016629055,3.565792718,,2.35948641,1.859817704,,0.785652526,1.739223498,5.423206441,28.7483815,,24.14209211,2.587929563,1.686894899,,12.65126151,1.060120672,16.86531397,0.829771934,4.750128031,4.264452487,,0.344411805,0.283644738,1.002651032,4.701882807,6.110206929,1.436463771,,5.557786175,4.931677019,2.207771355,37.15387437,35.39965355,6.420387626,,7.087717081,18.39796727,0.595003133,6.834147819,2.761673633,5.591897549,3.894205022,1.011678194,3.218286863,15.49456349,1.509137024,40.94202616,38.94584094,6.90508422,48.36620153,,0.590296332,73.94497463,4.342448098,,1.784096295,,2.9953214,49.55154639,0.32545741,2.382992226,41.88439734,36.90007736,4.488485794,6.027080199,4.569364505,4.274519404,,2.981943755,0.247818884,0.558741159,2.762049208,,9.614223973,1.680870827,,65.30322291,0.504095769,1.980916662,2.118281496,5.695186842,2.434155125,,,0.729041492,13.00446401,3.36832579,0.327522933,9.096267238,1.871902115,,70.66156302,69.80507707,11.75286209,,7.518460613,4.227813029,1.514203081,6.298026769,4.582208293,6.541197843,4.661877507,7.403339453,,1.405718907,26.40515495,1.649485572,2.829141559,1.964869226,3.75803705,,,4.734310864,4.136555378,26.36612895,0.811564305,3.258199941,0.878046852,6.457986553,0.38569932,2.197792169,,1.544637689,0.582826351,0.072441341,3.445381352,5.392271796,9.536583741,2.794527945,0.513152839,1.046251842,2.235406701,4.103354793,5.961024122,12.47147861,16.27906977,2.139261376,5.66788414,,5.599194072,1.268658726,9.731382532,0.882021561,28.32003754,0.988796347,,2.526979284,0.819548509,0.901216823,0.905040419,22.35067974,0.9106682,1.094636475,0.95665348,19.71442962,1.627590027,2.498768841,8.015628293,0.98286774,23.13634491,3.196723343,1.490583995,1.086826067,4.763466426,21.85065661,7.201852789,41.4874089,0.814974419,4.005315911,4.210657061,0.681329884,0.433037538,1.993715359,3.014282632,2.718969044,3.469844097,1.146970199,1.781228011,71.51928569,1.786081061,,2.277900601,6.224731728,3.368017367,,8.466905802,0.649214898,35.95809656,0.42442502,1.334187472,1.032799265,0.181831086,48.97388866,,0.54553877,5.704386934
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
