,Slovakia,USSR,Japan,Poland,Turkey,Switzerland,Trinidad and Tobago,The former Yugoslav Republic of Macedonia,Georgia,Latvia,Azerbaijan,Kenya,France,Republic of Korea,Romania,Italy,Ukraine,Hungary,Russian Federation,Cameroon,Bolivia (Plurinational State of),Yugoslav SFR,Slovenia,Albania,Peru,China,Portugal,Serbia and Montenegro,Greece,Democratic People's Republic of Korea,"China, mainland",Chile,Spain,Bosnia and Herzegovina,Bulgaria,Malawi
1971,,-1.0,40500.0,,39360.0,,,,,,,,-1.0,1800.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,30000.0,,-1.0,2500.0,-1.0,,-1.0,,-1.0,
1972,,-1.0,41700.0,,40900.0,,,,,,,,-1.0,1900.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,30000.0,,-1.0,2500.0,-1.0,,-1.0,,-1.0,
1973,,-1.0,43200.0,,40200.0,,,,,,,,-1.0,1900.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,30000.0,,-1.0,2500.0,-1.0,,-1.0,,-1.0,
1974,,-1.0,44200.0,,40000.0,,,,,,,,-1.0,2000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,23000.0,,-1.0,3000.0,-1.0,,-1.0,,-1.0,
1975,,-1.0,44300.0,,42500.0,,,,,,,,-1.0,4500.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,23000.0,,-1.0,3000.0,-1.0,,-1.0,,-1.0,
1976,,-1.0,43600.0,,43200.0,,,,,,,,-1.0,5000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,23000.0,,-1.0,3000.0,-1.0,,-1.0,,-1.0,
1977,,-1.0,43300.0,,44200.0,,,,,,,,-1.0,18000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,23000.0,,-1.0,3000.0,-1.0,,-1.0,,-1.0,
1978,,-1.0,43200.0,,43200.0,,,,,,,,-1.0,25000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,23000.0,,-1.0,3000.0,-1.0,,-1.0,,-1.0,
1979,,-1.0,43800.0,,43200.0,,,,,,,,-1.0,35000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,16000.0,,-1.0,3000.0,-1.0,,-1.0,,-1.0,
1980,,-1.0,44100.0,,32400.0,,,,,,,,-1.0,37000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,16000.0,,-1.0,3500.0,-1.0,,-1.0,,-1.0,
1981,,-1.0,43800.0,,32000.0,,,,,,,,-1.0,28000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,15000.0,,-1.0,4000.0,-1.0,,-1.0,,-1.0,
1982,,-1.0,43500.0,,29500.0,,,,,,,,-1.0,31000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,15000.0,,-1.0,4500.0,-1.0,,-1.0,,-1.0,
1983,,-1.0,43300.0,,30000.0,,,,,,,,-1.0,33000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,15000.0,,-1.0,4500.0,-1.0,,-1.0,,-1.0,
1984,,-1.0,42900.0,,33000.0,,,,,,,,-1.0,31000.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,15000.0,,-1.0,4500.0,-1.0,,-1.0,,-1.0,
1985,,3600.0,42200.0,,28100.0,,,,,,,,15800.0,32500.0,-1.0,15500.0,,750.0,,20.0,18000.0,800.0,,-1.0,-1.0,39000.0,15000.0,,8200.0,5000.0,39000.0,,7000.0,,-1.0,
1986,,3600.0,41400.0,,36600.0,,,,,,,,16200.0,29000.0,-1.0,19000.0,,850.0,,40.0,18000.0,1700.0,,-1.0,-1.0,39000.0,14600.0,,8750.0,5000.0,39000.0,,7000.0,,-1.0,
1987,,3600.0,40600.0,,36720.0,,,,,,,,15900.0,29000.0,-1.0,19000.0,,665.0,,50.0,18000.0,1700.0,,-1.0,-1.0,44500.0,14800.0,,9000.0,5000.0,44500.0,,7000.0,,-1.0,
1988,,4300.0,35900.0,,36900.0,,,,,,,,15600.0,33900.0,-1.0,19000.0,,665.0,,60.0,18000.0,1300.0,,-1.0,-1.0,44500.0,15000.0,,9000.0,5000.0,44500.0,,7000.0,,-1.0,
1989,,4800.0,38300.0,,37340.0,,,,,,,,11500.0,34000.0,-1.0,19000.0,,490.0,,70.0,18000.0,1300.0,,-1.0,2125.0,44500.0,15200.0,,9000.0,5000.0,44500.0,,7000.0,,-1.0,
1990,,4630.0,37600.0,-1.0,38140.0,-1.0,,,,,,,12400.0,36000.0,-1.0,18911.0,,380.0,,100.0,20908.0,1313.0,,-1.0,2160.0,43687.0,15200.0,,8800.0,4909.0,43687.0,0.0,7040.0,,10.0,-1.0
1991,,4748.0,36700.0,-1.0,39160.0,,,,,,,,7800.0,35826.0,-1.0,23500.0,,593.0,,100.0,12427.0,1322.0,,-1.0,1560.0,62000.0,15900.0,,7500.0,5038.0,62000.0,166.0,14168.0,,10.0,-1.0
1992,,,35500.0,,39080.0,,,100.0,,-1.0,300.0,,7000.0,39000.0,-1.0,26275.0,-1.0,431.0,-1.0,100.0,21708.0,,127.0,-1.0,1195.0,65000.0,17828.0,435.0,7400.0,4982.0,65000.0,178.0,16086.0,520.0,13.0,-1.0
1993,-1.0,,34400.0,,39200.0,,,121.0,,-1.0,500.0,-1.0,7300.0,30000.0,100.0,26118.0,-1.0,679.0,-1.0,100.0,18944.0,,150.0,-1.0,1325.0,68000.0,19875.0,591.0,7700.0,4735.0,68000.0,189.0,17525.0,530.0,15.0,-1.0
1994,-1.0,,33300.0,,39380.0,,,150.0,,-1.0,400.0,-1.0,7600.0,37000.0,100.0,27321.0,-1.0,571.0,-1.0,100.0,17684.0,,90.0,-1.0,720.0,70000.0,21492.0,569.0,7800.0,4482.0,70000.0,201.0,14164.0,540.0,40.0,-1.0
1995,-1.0,,30100.0,,39740.0,,,200.0,,-1.0,300.0,-1.0,7300.0,35778.0,100.0,28550.0,-1.0,740.0,-1.0,100.0,24000.0,,60.0,-1.0,1000.0,67101.0,23125.0,545.0,7800.0,4870.0,67101.0,212.0,7277.0,550.0,40.0,-1.0
1996,-1.0,,29200.0,,39240.0,,,350.0,,-1.0,300.0,-1.0,7000.0,42000.0,92.0,27622.0,-1.0,756.0,-1.0,100.0,30000.0,,15.0,2000.0,900.0,72000.0,24179.0,533.0,7800.0,5247.0,72000.0,224.0,10743.0,550.0,90.0,-1.0
1997,-1.0,,28300.0,,40300.0,,-1.0,300.0,,-1.0,300.0,-1.0,4350.0,50000.0,100.0,29700.0,-1.0,764.0,-1.0,100.0,32491.0,,5.0,2000.0,800.0,78000.0,25187.0,509.0,7700.0,5464.0,78000.0,235.0,7101.0,560.0,90.0,-1.0
1998,-1.0,,27500.0,,38000.0,,-1.0,340.0,,-1.0,200.0,-1.0,4430.0,45000.0,20.0,32457.0,-1.0,1000.0,-1.0,100.0,34000.0,,8.0,2000.0,275.0,88000.0,26411.0,485.0,7800.0,5600.0,88000.0,247.0,7792.0,580.0,80.0,-1.0
1999,-1.0,,26900.0,,36400.0,,-1.0,200.0,,-1.0,200.0,-1.0,4786.0,40000.0,64.0,21891.0,-1.0,885.0,-1.0,100.0,25000.0,,11.0,2000.0,650.0,105000.0,29004.0,500.0,8400.0,5733.0,105000.0,259.0,7166.0,560.0,85.0,-1.0
2000,-1.0,,26400.0,,35300.0,,,184.0,,-1.0,200.0,-1.0,6097.0,38000.0,56.0,21278.0,80.0,908.0,-1.0,100.0,25000.0,,16.0,2000.0,586.0,110000.0,29101.0,400.0,8400.0,5791.0,110000.0,270.0,6254.0,570.0,150.0,-1.0
2001,-1.0,,25900.0,,35100.0,,,141.0,-1.0,-1.0,200.0,,6175.0,39000.0,20.0,22885.0,90.0,900.0,-1.0,100.0,30000.0,,16.0,2000.0,174.0,113755.0,29190.0,300.0,7800.0,5800.0,113755.0,282.0,6254.0,590.0,140.0,
2002,-1.0,,25600.0,,36300.0,,,202.0,-1.0,-1.0,200.0,,7204.0,35000.0,37.0,24167.0,91.0,509.0,-1.0,100.0,33000.0,,16.0,2000.0,180.0,130000.0,29522.0,200.0,8790.0,5934.0,130000.0,293.0,6254.0,580.0,150.0,
2003,-1.0,,25300.0,,37200.0,,,250.0,-1.0,-1.0,382.0,,7264.0,33000.0,28.0,24304.0,120.0,641.0,-1.0,100.0,36000.0,,10.0,2000.0,182.0,145000.0,29885.0,400.0,8760.0,6000.0,145000.0,299.0,11237.0,600.0,150.0,
2004,-1.0,,24300.0,,37800.0,,,194.0,-1.0,-1.0,391.0,,7264.0,35599.0,17.0,24432.0,79.0,600.0,-1.0,100.0,38000.0,,11.0,2000.0,185.0,175000.0,30227.0,311.0,8904.0,6000.0,175000.0,298.0,6254.0,600.0,25.0,
2005,-1.0,,23800.0,,37800.0,,,199.0,-1.0,-1.0,391.0,,7289.0,35000.0,20.0,24000.0,88.0,606.0,-1.0,100.0,42000.0,,11.0,2000.0,160.0,185000.0,30276.0,254.0,8939.0,5800.0,185000.0,297.0,5846.0,620.0,120.0,
2006,144.0,,23300.0,,37260.0,,,205.0,,-1.0,201.0,,6967.0,40000.0,3.0,23404.0,88.0,457.0,-1.0,100.0,40000.0,,11.0,2000.0,190.0,220000.0,30265.0,,9026.0,6000.0,220000.0,348.0,6134.0,640.0,140.0,
2007,135.0,,23000.0,,38960.0,,,240.0,,20.0,405.0,,6965.0,38566.0,2.0,22182.0,87.0,684.0,-1.0,100.0,40599.0,,5.0,2000.0,200.0,238000.0,33117.0,,8921.0,6000.0,238000.0,366.0,9523.0,640.0,115.0,
2008,114.0,,22500.0,,38980.0,,,253.0,,20.0,406.0,,7003.0,38000.0,2.0,25000.0,87.0,777.0,,100.0,41193.0,,5.0,2000.0,210.0,260000.0,33732.0,,10600.0,7000.0,260000.0,366.0,15000.0,650.0,140.0,
2009,90.0,,22100.0,,39040.0,,,300.0,,20.0,472.0,,7106.0,39216.0,3.0,24835.0,80.0,801.0,,100.0,39346.0,,6.0,2246.0,204.0,280000.0,34591.0,,6526.0,6122.0,280000.0,366.0,25000.0,660.0,130.0,
2010,63.0,,21700.0,,38400.0,,,313.0,,20.0,492.0,,7042.0,36596.0,2.0,24595.0,80.0,462.0,,120.0,43061.0,,5.0,2337.0,165.0,295000.0,34600.0,,7400.0,5653.0,295000.0,366.0,29000.0,670.0,120.0,
2011,30.0,,21400.0,,38440.0,,,338.0,,20.0,489.0,,7165.0,36000.0,2.0,23913.0,80.0,535.0,,130.0,44245.0,,8.0,2400.0,148.0,300000.0,34648.0,,8600.0,5000.0,300000.0,366.0,24100.0,700.0,125.0,
2012,9.0,,21000.0,,38780.0,,,300.0,,20.0,508.0,,7166.0,36500.0,1.0,25000.0,80.0,490.0,,132.0,41649.0,,11.0,2400.0,139.0,305000.0,34814.0,,6800.0,5500.0,305000.0,575.0,28800.0,800.0,110.0,
2013,3.0,,20600.0,,11307.0,,,311.0,,20.0,514.0,,7666.0,38703.0,1.0,22918.0,80.0,500.0,,137.0,52558.0,,12.0,2740.0,128.0,305000.0,35168.0,,7600.0,5500.0,305000.0,470.0,31000.0,1400.0,116.0,
2014,4.0,,20200.0,,11116.0,,,249.0,,20.0,515.0,,7758.0,33000.0,2.0,21500.0,80.0,490.0,,122.0,53390.0,,12.0,3014.0,118.0,297000.0,35352.0,,8200.0,5526.0,297000.0,473.0,31158.0,1412.0,100.0,
