,Bolivia (Plurinational State of),Peru,Spain,Belarus,Croatia,Serbia,Armenia,Syrian Arab Republic,Brazil,Yugoslav SFR,The former Yugoslav Republic of Macedonia,Japan,Iraq,Belgium,Greece,New Zealand,Yemen,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Kyrgyzstan,Cyprus,Argentina,Ukraine,Georgia,Israel,Austria,Morocco,Ethiopia PDR,Switzerland,Mexico,USSR,Romania,Azerbaijan,Italy,Jordan,Bosnia and Herzegovina,China,Tunisia,Latvia,Albania,Uruguay,Lebanon,Uzbekistan,France,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,South Africa,Australia,Portugal,Egypt,Lithuania,"China, mainland",Russian Federation,Turkey,Republic of Moldova,Belgium-Luxembourg
2004,457.0,5243.0,17285.0,2270.0,500.0,-1.0,-1.0,3900.0,1248.0,-1.0,948.0,441.0,1500.0,1540.0,5333.0,1011.0,1198.0,515.0,1011.0,37016.0,11620.0,4455.0,-1.0,2000.0,77.0,25667.0,5200.0,3165.0,700.0,-1,39000.0,-1.0,688.0,6185.0,-1.0,8000.0,16501.0,608.0,-1.0,-1.0,84500.0,4000.0,170.0,500.0,9000.0,-1.0,28000.0,3813.0,85.0,-1.0,910.0,2500.0,133.0,-1.0,2300.0,37.0,269.0,84500.0,7310.0,80000.0,1500.0,-1.0
2005,464.0,5158.0,18812.0,707.0,398.0,-1.0,-1.0,4800.0,1078.0,-1.0,933.0,313.0,1600.0,1715.0,5330.0,1036.0,1229.0,632.0,1036.0,39313.0,9748.0,6422.0,-1.0,1500.0,72.0,26099.0,7700.0,6181.0,995.0,-1,30100.0,-1.0,411.0,4868.0,-1.0,7837.0,23610.0,634.0,-1.0,1074.0,93500.0,3600.0,459.0,700.0,7358.0,-1.0,37000.0,3533.0,92.0,580.0,570.0,2500.0,137.0,-1.0,2300.0,37.0,385.0,93500.0,6200.0,100000.0,1147.0,-1.0
2006,472.0,4945.0,13136.0,538.0,393.0,10397.0,-1.0,4500.0,910.0,-1.0,1000.0,300.0,1800.0,2000.0,5097.0,1059.0,1263.0,240.0,1059.0,37000.0,-1.0,8991.0,-1.0,1900.0,75.0,26000.0,5800.0,1100.0,1145.0,-1,28000.0,-1.0,674.0,7141.0,-1.0,7746.0,25616.0,818.0,-1.0,1053.0,85000.0,3300.0,130.0,1500.0,6513.0,-1.0,49096.0,3324.0,142.0,550.0,680.0,1000.0,122.0,-1.0,2500.0,38.0,232.0,85000.0,5600.0,106214.0,863.0,-1.0
2007,480.0,4948.0,12098.0,361.0,582.0,13444.0,1917.0,4955.0,931.0,-1.0,1231.0,307.0,1500.0,2400.0,5035.0,1083.0,1351.0,260.0,1083.0,35000.0,-1.0,6745.0,-1.0,1800.0,74.0,27000.0,5300.0,1500.0,995.0,-1,35106.0,-1.0,654.0,6473.0,-1.0,7402.0,25671.0,611.0,-1.0,1054.0,90000.0,3000.0,83.0,2813.0,4421.0,-1.0,50000.0,2465.0,217.0,500.0,429.0,1000.0,145.0,-1.0,3357.0,38.0,215.0,90000.0,8200.0,95015.0,957.0,-1.0
2008,487.0,4583.0,11705.0,900.0,424.0,12350.0,1332.0,4300.0,905.0,-1.0,1179.0,290.0,1658.0,4500.0,4100.0,1108.0,1392.0,100.0,1108.0,34115.0,-1.0,7265.0,-1.0,1900.0,70.0,27055.0,8000.0,1200.0,1160.0,-1,33133.0,-1.0,626.0,7385.0,-1.0,7415.0,26990.0,725.0,-1.0,907.0,101000.0,2500.0,131.0,3000.0,2764.0,-1.0,55000.0,0.0,142.0,500.0,832.0,500.0,174.0,-1.0,3555.0,38.0,157.0,101000.0,4000.0,95395.0,1236.0,-1.0
2009,637.0,4904.0,15283.0,300.0,400.0,15061.0,1432.0,4591.0,975.0,-1.0,1237.0,270.0,1689.0,2500.0,4107.0,1133.0,1423.0,611.0,1133.0,37000.0,-1.0,11070.0,-1.0,2000.0,68.0,26974.0,8100.0,2200.0,582.0,-1,38714.0,-1.0,614.0,6759.0,-1.0,7252.0,25798.0,645.0,-1.0,1325.0,105000.0,2500.0,217.0,3200.0,4169.0,-1.0,60000.0,0.0,80.0,490.0,908.0,600.0,235.0,-1.0,5257.0,40.0,112.0,105000.0,5000.0,96282.0,1635.0,-1.0
2010,626.0,4849.0,12768.0,400.0,1009.0,10953.0,739.0,3644.0,964.0,-1.0,1426.0,249.0,1716.0,2701.0,4667.0,1157.0,1457.0,541.0,1157.0,41930.0,-1.0,11592.0,-1.0,1900.0,70.0,27081.0,9600.0,500.0,584.0,-1,36240.0,-1.0,631.0,5796.0,-1.0,7376.0,22598.0,1250.0,-1.0,1147.0,108687.0,2600.0,32.0,3195.0,4829.0,-1.0,67000.0,-1.0,20.0,470.0,1808.0,600.0,208.0,-1.0,5147.0,40.0,100.0,108687.0,3200.0,121085.0,1945.0,-1.0
2011,633.0,4873.0,13115.0,700.0,631.0,13955.0,1209.0,3792.0,780.0,-1.0,1424.0,226.0,1744.0,2500.0,5156.0,1182.0,1690.0,486.0,1182.0,46596.0,-1.0,12459.0,-1.0,2100.0,65.0,27185.0,9900.0,900.0,584.0,-1,31994.0,-1.0,626.0,5466.0,-1.0,7736.0,23924.0,1146.0,-1.0,1161.0,104812.0,3300.0,93.0,3219.0,7529.0,-1.0,86905.0,-1.0,69.0,480.0,1118.0,500.0,181.0,-1.0,5100.0,42.0,100.0,104812.0,4000.0,127767.0,1700.0,-1.0
2012,640.0,5213.0,8071.0,300.0,759.0,10961.0,1918.0,3289.0,704.0,-1.0,1237.0,195.0,2100.0,2750.0,6349.0,1200.0,1788.0,287.0,1200.0,51700.0,-1.0,10516.0,-1.0,2200.0,65.0,27500.0,10500.0,900.0,467.0,-1,46000.0,-1.0,614.0,5996.0,-1.0,8070.0,27140.0,1344.0,-1.0,873.0,106180.0,3000.0,199.0,3820.0,5960.0,-1.0,93400.0,-1.0,92.0,500.0,800.0,1100.0,216.0,-1.0,5100.0,42.0,100.0,106180.0,4700.0,135406.0,1681.0,-1.0
2013,626.0,5899.0,11607.0,300.0,607.0,15310.0,2130.0,3150.0,633.0,-1.0,1257.0,178.0,1772.0,3000.0,6219.0,1234.0,1879.0,297.0,1234.0,73623.0,-1.0,11178.0,200.0,2300.0,66.0,27283.0,9700.0,2100.0,113.0,-1,46480.0,-1.0,629.0,6224.0,-1.0,8526.0,27839.0,1306.0,-1.0,1374.0,107635.0,3000.0,87.0,3770.0,4166.0,22897.0,102000.0,-1.0,95.0,500.0,1210.0,600.0,277.0,-1.0,4500.0,42.0,100.0,107635.0,5000.0,139311.0,1566.0,-1.0
2014,617.0,6321.0,11278.0,300.0,558.0,13545.0,2539.0,2933.0,570.0,-1.0,1130.0,189.0,1773.0,3188.0,4452.0,1263.0,1970.0,447.0,1263.0,82522.0,-1.0,11574.0,204.0,2300.0,63.0,27242.0,7540.0,1000.0,109.0,-1,45882.0,-1.0,635.0,4136.0,-1.0,9394.0,27236.0,621.0,-1.0,794.0,109090.0,3500.0,525.0,4090.0,2771.0,23188.0,110000.0,-1.0,95.0,500.0,1020.0,700.0,568.0,-1.0,4562.0,43.0,274.0,109090.0,5400.0,107243.0,1471.0,-1.0
