,Slovakia,South Africa,Eritrea,USSR,Philippines,The former Yugoslav Republic of Macedonia,United Republic of Tanzania,Samoa,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Germany,Uganda,Benin,Uzbekistan,Cambodia,Mozambique,Niger,Morocco,Canada,Zimbabwe,Kyrgyzstan,India,Austria,Israel,Cabo Verde,Poland,Switzerland,Ethiopia PDR,Malaysia,Latvia,Czechoslovakia,France,Republic of Korea,Croatia,Hungary,Russian Federation,Central African Republic,Iran (Islamic Republic of),Kazakhstan,Azerbaijan,Côte d'Ivoire,Polynesia,Lithuania,Bulgaria,Ukraine
1996,14286.0,6948.0,4054.0,,4500.0,12000.0,6364.0,3510.0,6271.0,3674.0,4783.0,8889.0,7500.0,,6757.0,,9143.0,28571.0,3234.0,5000.0,12478.0,,5516.0,2651.0,2779.0,7827.0,10447.0,,10556.0,,,10000.0,10833.0,,17755.0,7709.0,,14803.0,8125.0,5041.0,10610.0,10256.0,,4500.0,3510.0,,10000.0,8333.0
1997,12504.0,7958.0,4015.0,,4624.0,13333.0,6493.0,3528.0,6457.0,3769.0,4551.0,9649.0,12361.0,,6766.0,10000.0,10857.0,27893.0,3212.0,5000.0,12572.0,,5505.0,4276.0,2991.0,7085.0,10390.0,,9412.0,,,10114.0,10000.0,,17835.0,7717.0,,15071.0,8333.0,5000.0,10690.0,8462.0,,4620.0,3528.0,,10000.0,8000.0
1998,11918.0,8968.0,4211.0,,4444.0,10000.0,6698.0,3547.0,6093.0,3422.0,4722.0,8893.0,12361.0,,6809.0,10000.0,10000.0,27892.0,3188.0,5000.0,12670.0,,5494.0,4719.0,3048.0,7301.0,10342.0,,10000.0,,,10000.0,10000.0,,17915.0,7713.0,,17599.0,8125.0,5000.0,10725.0,18750.0,,4784.0,3547.0,,10000.0,8314.0
1999,10000.0,9978.0,3934.0,,4500.0,10835.0,6765.0,3565.0,6287.0,3823.0,4526.0,8302.0,6057.0,,6801.0,10000.0,9474.0,28571.0,3163.0,5000.0,12774.0,,5483.0,5008.0,3043.0,8038.0,10293.0,,9259.0,,,10199.0,12000.0,,17995.0,7776.0,,16507.0,8000.0,5000.0,10811.0,14163.0,,5357.0,3565.0,,10000.0,7857.0
2000,11000.0,11045.0,3884.0,,4838.0,11495.0,6857.0,3584.0,6473.0,3983.0,4509.0,6944.0,6922.0,,6829.0,10066.0,9444.0,26982.0,3158.0,7583.0,11976.0,,5471.0,4039.0,2997.0,8636.0,10000.0,,8333.0,,,10242.0,11429.0,,18075.0,7667.0,10545.0,18929.0,8333.0,5000.0,10676.0,16667.0,25000.0,4964.0,3584.0,,10000.0,9333.0
2001,9231.0,11879.0,3833.0,,4957.0,,7315.0,3602.0,8165.0,3545.0,4491.0,6377.0,8230.0,,7153.0,10129.0,10000.0,25000.0,3116.0,13469.0,13097.0,,5460.0,5714.0,3023.0,6518.0,10130.0,,10000.0,,,10285.0,11250.0,,18156.0,7732.0,11131.0,16000.0,7500.0,5023.0,10640.0,14405.0,24000.0,4945.0,3602.0,,10000.0,8571.0
2002,8667.0,12800.0,3781.0,,5086.0,,7564.0,3621.0,7185.0,3626.0,4472.0,6452.0,8230.0,,7297.0,10000.0,9667.0,25485.0,3093.0,36203.0,13316.0,6667.0,5449.0,7422.0,3039.0,6622.0,10000.0,,8917.0,,,10331.0,11000.0,,18236.0,7883.0,15527.0,14594.0,6000.0,5000.0,10604.0,15000.0,25000.0,4722.0,3621.0,,10000.0,7778.0
2003,8824.0,13892.0,3719.0,,5234.0,,7821.0,3639.0,6691.0,3418.0,4449.0,6207.0,12361.0,,7445.0,10000.0,10667.0,25000.0,3069.0,20642.0,13547.0,3125.0,5437.0,7643.0,3003.0,7485.0,10000.0,,7500.0,,,10385.0,10769.0,,18312.0,7213.0,8918.0,15219.0,5000.0,5021.0,10563.0,14308.0,26957.0,4817.0,3639.0,,10000.0,8548.0
2004,7778.0,14915.0,3546.0,,5488.0,,8076.0,3655.0,7115.0,4224.0,4406.0,7000.0,12361.0,,7597.0,10381.0,10938.0,25000.0,3042.0,17807.0,13790.0,3500.0,5424.0,1111.0,3003.0,3893.0,10000.0,,8794.0,,,10476.0,10714.0,,18384.0,7529.0,10214.0,10000.0,6865.0,5018.0,10518.0,9400.0,28000.0,4765.0,3655.0,,10379.0,8665.0
2005,8500.0,15944.0,3452.0,,5657.0,,8472.0,3672.0,7560.0,5217.0,4377.0,7045.0,9281.0,,7749.0,10502.0,10556.0,25000.0,3014.0,42516.0,14036.0,3500.0,5410.0,1429.0,3000.0,5653.0,10000.0,,8863.0,,,10000.0,10667.0,,18457.0,7574.0,9361.0,9375.0,8750.0,5015.0,10473.0,17826.0,25000.0,3750.0,3672.0,,10451.0,9000.0
2006,8182.0,16980.0,3359.0,,5945.0,,8759.0,3689.0,7408.0,4794.0,4348.0,7100.0,7721.0,,7902.0,10695.0,10526.0,25000.0,2984.0,34192.0,14283.0,3817.0,5396.0,2222.0,3002.0,6715.0,9796.0,,8862.0,,,10738.0,10667.0,,18430.0,9080.0,10692.0,7143.0,9422.0,5000.0,10427.0,16410.0,27273.0,4989.0,3689.0,,10493.0,8740.0
2007,6667.0,18022.0,3266.0,,6088.0,,9044.0,3706.0,7364.0,5379.0,4319.0,6401.0,7120.0,,8053.0,10844.0,10789.0,25000.0,2953.0,7906.0,14531.0,3777.0,5383.0,7583.0,3056.0,6682.0,9699.0,,7000.0,,,10971.0,10556.0,,18373.0,9928.0,12796.0,4730.0,5592.0,5007.0,10382.0,12048.0,24615.0,5284.0,3706.0,,10000.0,8700.0
2008,7200.0,19070.0,3171.0,,6225.0,,9332.0,3722.0,7447.0,5603.0,4290.0,8670.0,7874.0,,8201.0,10769.0,9750.0,25000.0,2920.0,37507.0,14779.0,3746.0,5369.0,5455.0,3447.0,5268.0,9568.0,,8800.0,,,11205.0,10000.0,,18187.0,9045.0,14121.0,5947.0,5725.0,5003.0,10337.0,13012.0,22727.0,5619.0,3722.0,,10227.0,8659.0
2009,7037.0,20124.0,3076.0,,6354.0,,9613.0,3733.0,7471.0,6147.0,4263.0,5984.0,8667.0,,8345.0,11125.0,8750.0,24962.0,2883.0,41617.0,15025.0,3720.0,5356.0,9405.0,2663.0,4825.0,9455.0,,12258.0,29500.0,,11432.0,10440.0,,19813.0,9608.0,20396.0,5136.0,4672.0,4999.0,10290.0,14019.0,25000.0,5952.0,3733.0,10526.0,13500.0,8576.0
2010,7012.0,21184.0,2980.0,,6473.0,,9885.0,3747.0,7500.0,5850.0,4236.0,3331.0,10228.0,,8483.0,11377.0,10000.0,24896.0,2842.0,32084.0,15270.0,3699.0,5431.0,7000.0,2778.0,6103.0,9340.0,,10961.0,29032.0,,12143.0,10640.0,,17303.0,10169.0,12708.0,4486.0,5355.0,4996.0,10240.0,22013.0,21750.0,6280.0,3747.0,6250.0,13139.0,7692.0
2011,6688.0,22333.0,2884.0,,6875.0,,10147.0,3776.0,8244.0,6030.0,4211.0,5909.0,10222.0,,8614.0,11613.0,10430.0,24830.0,2797.0,32633.0,16000.0,3682.0,5450.0,7143.0,3161.0,6578.0,9223.0,,11859.0,31176.0,,11851.0,10765.0,,19512.0,9495.0,6460.0,4158.0,7343.0,4995.0,10173.0,44667.0,20000.0,6585.0,3776.0,6379.0,12393.0,8816.0
2012,3175.0,23333.0,2193.0,,6875.0,,10714.0,3800.0,8339.0,6996.0,4000.0,3754.0,9136.0,,9000.0,12500.0,9245.0,25000.0,2632.0,29483.0,16222.0,3718.0,5510.0,4643.0,3238.0,6103.0,8824.0,,12735.0,28980.0,,12414.0,10870.0,,18317.0,9715.0,6668.0,4599.0,6113.0,5000.0,10000.0,30841.0,21000.0,7444.0,3800.0,5962.0,9545.0,9643.0
2013,7980.0,24408.0,2673.0,,6875.0,,10714.0,3840.0,8302.0,7031.0,4000.0,3960.0,8500.0,,9000.0,12500.0,7107.0,24622.0,2462.0,32312.0,16087.0,3669.0,5417.0,5732.0,3345.0,6067.0,8991.0,,12508.0,6304.0,,12109.0,10870.0,,18865.0,11068.0,6535.0,6567.0,6897.0,5056.0,9604.0,23085.0,20000.0,7444.0,3840.0,5660.0,12174.0,9643.0
2014,4319.0,25619.0,2761.0,,6707.0,,10809.0,3841.0,8750.0,8887.0,4121.0,5651.0,4082.0,,8950.0,12414.0,6875.0,24416.0,2587.0,37999.0,15939.0,3649.0,4425.0,5000.0,3174.0,5463.0,9070.0,,14280.0,6735.0,,11977.0,11364.0,,19541.0,11548.0,5015.0,7839.0,5808.0,5004.0,9963.0,23790.0,19867.0,7180.0,3841.0,6379.0,11842.0,9643.0
