,Israel,Réunion,Japan,Poland,Syrian Arab Republic,Belarus,Australia,New Zealand,Egypt,Georgia,Greece,United Kingdom,Portugal,France,Libya,Italy,Ukraine,Lao People's Democratic Republic,Hungary,Ireland,Turkey,Cameroon,Tunisia,Iran (Islamic Republic of),Albania,Uzbekistan,Brazil,Finland,Armenia,Australia & New Zealand,Morocco,"China, mainland",Yemen,Algeria,Afghanistan,Zimbabwe,Lithuania,Bulgaria,Germany,China,India,Malta
1971,,-1.0,2500.0,-1.0,1702.0,,-1.0,27.0,-1.0,,-1.0,,900.0,-1.0,,-1.0,,550.0,-1.0,,6554.0,-1.0,-1.0,9500.0,,,,-1.0,,27.0,-1.0,-1.0,-1.0,-1.0,3930.0,-1.0,,190.0,-1.0,-1.0,-1.0,-1.0
1972,,-1.0,2400.0,-1.0,1644.0,,-1.0,27.0,-1.0,,-1.0,,900.0,-1.0,,-1.0,,550.0,-1.0,,6443.0,-1.0,-1.0,9800.0,,,,-1.0,,27.0,-1.0,-1.0,-1.0,-1.0,4030.0,-1.0,,220.0,-1.0,-1.0,-1.0,-1.0
1973,,-1.0,2400.0,-1.0,1562.0,,-1.0,27.0,-1.0,,-1.0,,900.0,-1.0,,-1.0,,600.0,-1.0,,6286.0,-1.0,-1.0,10000.0,,,,-1.0,,27.0,-1.0,-1.0,-1.0,-1.0,4110.0,-1.0,,380.0,-1.0,-1.0,-1.0,-1.0
1974,,-1.0,2400.0,-1.0,2019.0,,-1.0,27.0,-1.0,,-1.0,,1100.0,-1.0,,-1.0,,600.0,-1.0,,6374.0,-1.0,-1.0,10500.0,,,,-1.0,,27.0,-1.0,-1.0,-1.0,-1.0,4180.0,-1.0,,270.0,-1.0,-1.0,-1.0,-1.0
1975,,-1.0,2400.0,-1.0,2147.0,,-1.0,27.0,-1.0,,-1.0,,1100.0,-1.0,,-1.0,,600.0,-1.0,,6571.0,-1.0,-1.0,11000.0,,,,-1.0,,27.0,-1.0,-1.0,-1.0,-1.0,4190.0,-1.0,,310.0,-1.0,-1.0,-1.0,-1.0
1976,,-1.0,2400.0,-1.0,2497.0,,-1.0,27.0,-1.0,,-1.0,,1100.0,-1.0,,-1.0,,500.0,-1.0,,7286.0,-1.0,-1.0,11500.0,,,,-1.0,,27.0,-1.0,-1.0,-1.0,-1.0,4190.0,-1.0,,350.0,-1.0,-1.0,-1.0,-1.0
1977,25.0,-1.0,2400.0,-1.0,2849.0,,-1.0,31.0,-1.0,,-1.0,,1200.0,-1.0,,-1.0,,500.0,-1.0,,7743.0,-1.0,-1.0,12000.0,,,,-1.0,,31.0,-1.0,-1.0,-1.0,-1.0,4200.0,-1.0,,200.0,-1.0,-1.0,-1.0,-1.0
1978,50.0,-1.0,2370.0,-1.0,2887.0,,-1.0,31.0,-1.0,,-1.0,,1200.0,-1.0,,-1.0,,500.0,-1.0,,6657.0,-1.0,-1.0,12000.0,,,,-1.0,,31.0,-1.0,-1.0,-1.0,-1.0,4170.0,-1.0,,320.0,-1.0,-1.0,-1.0,-1.0
1979,25.0,-1.0,2380.0,-1.0,2852.0,,-1.0,31.0,-1.0,,-1.0,,1400.0,-1.0,,-1.0,,600.0,-1.0,,6143.0,-1.0,-1.0,11500.0,,,,-1.0,,31.0,-1.0,-1.0,-1.0,-1.0,4030.0,-1.0,,240.0,-1.0,-1.0,-1.0,-1.0
1980,25.0,-1.0,2420.0,-1.0,2978.0,,-1.0,35.0,-1.0,,-1.0,,1393.0,-1.0,,-1.0,,850.0,-1.0,,6257.0,-1.0,-1.0,12000.0,,,,-1.0,,35.0,-1.0,-1.0,-1.0,-1.0,4040.0,-1.0,,70.0,-1.0,-1.0,-1.0,-1.0
1981,40.0,-1.0,2460.0,-1.0,3247.0,,-1.0,40.0,-1.0,,-1.0,,1382.0,-1.0,,-1.0,,850.0,-1.0,,6131.0,-1.0,-1.0,12500.0,,,,-1.0,,40.0,-1.0,-1.0,-1.0,-1.0,3950.0,-1.0,,5.0,-1.0,-1.0,-1.0,-1.0
1982,15.0,-1.0,2510.0,-1.0,3407.0,,-1.0,45.0,-1.0,,-1.0,,1374.0,-1.0,,-1.0,,900.0,-1.0,,5914.0,-1.0,-1.0,13000.0,,,,-1.0,,45.0,-1.0,-1.0,-1.0,-1.0,3800.0,-1.0,,20.0,-1.0,-1.0,-1.0,-1.0
1983,,-1.0,2510.0,-1.0,3500.0,,-1.0,45.0,-1.0,,-1.0,,1372.0,-1.0,,-1.0,,1000.0,-1.0,,5829.0,-1.0,-1.0,13500.0,,,,-1.0,,45.0,-1.0,-1.0,-1.0,-1.0,3650.0,-1.0,,30.0,-1.0,-1.0,-1.0,-1.0
1984,,-1.0,2540.0,-1.0,3300.0,,-1.0,45.0,-1.0,,-1.0,,1367.0,-1.0,,-1.0,,1000.0,-1.0,,5786.0,-1.0,-1.0,14000.0,,,,-1.0,,45.0,-1.0,-1.0,-1.0,-1.0,3500.0,13.0,,25.0,-1.0,-1.0,-1.0,-1.0
1985,,70.0,2580.0,5200.0,3879.0,,-1.0,40.0,-1.0,,400.0,,1368.0,330.0,,1000.0,,1000.0,70.0,,5800.0,250.0,580.0,14992.0,,,,-1.0,,40.0,30.0,1500.0,-1.0,-1.0,3410.0,13.0,,20.0,-1.0,1500.0,200.0,550.0
1986,,70.0,2640.0,3400.0,3800.0,,-1.0,38.0,8.0,,400.0,,1371.0,330.0,,1000.0,,1000.0,70.0,,5757.0,360.0,580.0,17241.0,,,,-1.0,,38.0,30.0,1500.0,-1.0,-1.0,3320.0,13.0,,20.0,-1.0,1500.0,200.0,550.0
1987,,70.0,2650.0,500.0,3942.0,,-1.0,67.0,15.0,,1000.0,,1375.0,330.0,,1000.0,,1000.0,70.0,,5543.0,360.0,580.0,14955.0,,,,-1.0,,67.0,30.0,1500.0,-1.0,-1.0,2860.0,13.0,,15.0,-1.0,1500.0,200.0,380.0
1988,,70.0,2680.0,1600.0,3900.0,,-1.0,72.0,25.0,,1000.0,,1380.0,-1.0,,1000.0,,1000.0,70.0,,5409.0,420.0,580.0,17510.0,,,,-1.0,,72.0,30.0,1500.0,-1.0,-1.0,2990.0,13.0,,20.0,-1.0,1500.0,200.0,300.0
1989,,70.0,2750.0,2000.0,4200.0,,-1.0,47.0,42.0,,1000.0,,1470.0,-1.0,,1000.0,,1000.0,85.0,,5206.0,420.0,580.0,30440.0,,,,-1.0,,47.0,30.0,1500.0,-1.0,-1.0,3000.0,13.0,,20.0,-1.0,1500.0,200.0,300.0
1990,0.0,95.0,2810.0,1200.0,4100.0,,-1.0,52.0,48.0,,966.0,-1.0,1565.0,0.0,,450.0,,1026.0,84.0,,5057.0,440.0,565.0,30297.0,,,,-1.0,,52.0,31.0,1600.0,-1.0,5120.0,3032.0,13.0,,0.0,-1.0,1600.0,204.0,298.0
1991,0.0,240.0,2800.0,1500.0,4000.0,,-1.0,60.0,68.0,,1611.0,-1.0,1565.0,0.0,,542.0,,1033.0,123.0,,5331.0,475.0,600.0,31388.0,,,,-1.0,,60.0,30.0,2400.0,-1.0,6790.0,2805.0,13.0,,0.0,520.0,2400.0,379.0,452.0
1992,0.0,243.0,2770.0,2200.0,3500.0,,-1.0,70.0,65.0,-1.0,1631.0,-1.0,1500.0,0.0,,487.0,-1.0,1150.0,160.0,,4914.0,450.0,600.0,32000.0,,-1.0,,-1.0,1100.0,70.0,30.0,4000.0,-1.0,6860.0,2784.0,13.0,-1.0,-1.0,470.0,4000.0,389.0,412.0
1993,0.0,203.0,2690.0,2500.0,2500.0,,-1.0,85.0,100.0,-1.0,1399.0,-1.0,1550.0,-1.0,-1.0,454.0,-1.0,1203.0,200.0,,4851.0,550.0,600.0,33000.0,,-1.0,,-1.0,1100.0,85.0,30.0,4000.0,-1.0,6070.0,2764.0,13.0,-1.0,-1.0,398.0,4000.0,398.0,371.0
1994,0.0,135.0,2620.0,2400.0,2800.0,,-1.0,85.0,101.0,-1.0,1421.0,-1.0,1200.0,-1.0,-1.0,492.0,-1.0,1261.0,240.0,-1.0,4820.0,602.0,600.0,34000.0,,-1.0,,-1.0,1200.0,85.0,30.0,4400.0,-1.0,4930.0,2798.0,13.0,-1.0,-1.0,433.0,4400.0,407.0,375.0
1995,0.0,177.0,2600.0,2900.0,2780.0,,-1.0,85.0,102.0,-1.0,1337.0,-1.0,1600.0,-1.0,-1.0,542.0,-1.0,1000.0,300.0,-1.0,4834.0,660.0,600.0,35000.0,,-1.0,,-1.0,1100.0,85.0,30.0,4400.0,-1.0,4680.0,2899.0,13.0,-1.0,-1.0,500.0,4400.0,416.0,282.0
1996,0.0,169.0,2500.0,3300.0,2700.0,,-1.0,85.0,104.0,-1.0,1394.0,-1.0,1500.0,-1.0,-1.0,539.0,-1.0,875.0,360.0,,4694.0,689.0,600.0,36195.0,,-1.0,,-1.0,1100.0,85.0,30.0,6000.0,-1.0,4240.0,3036.0,13.0,-1.0,-1.0,450.0,6000.0,425.0,200.0
1997,0.0,163.0,2500.0,3890.0,2600.0,,-1.0,85.0,105.0,-1.0,1345.0,-1.0,1442.0,-1.0,-1.0,509.0,-1.0,996.0,400.0,,4472.0,770.0,600.0,34967.0,,-1.0,,-1.0,800.0,85.0,29.0,7400.0,-1.0,4550.0,3209.0,13.0,-1.0,-1.0,490.0,7400.0,435.0,189.0
1998,0.0,160.0,2400.0,3960.0,2650.0,-1.0,-1.0,85.0,106.0,-1.0,1319.0,-1.0,1447.0,-1.0,-1.0,556.0,-1.0,1100.0,600.0,,4306.0,778.0,600.0,34928.0,,-1.0,,-1.0,1400.0,85.0,29.0,8000.0,600.0,3930.0,3411.0,12.0,-1.0,-1.0,389.0,8000.0,444.0,146.0
1999,0.0,157.0,2300.0,2000.0,2600.0,-1.0,-1.0,85.0,105.0,6000.0,1292.0,-1.0,1456.0,-1.0,-1.0,578.0,-1.0,1163.0,800.0,,4143.0,880.0,600.0,34623.0,,-1.0,,-1.0,1400.0,85.0,29.0,8000.0,1200.0,4170.0,3638.0,13.0,200.0,-1.0,472.0,8000.0,453.0,100.0
2000,0.0,155.0,2210.0,3500.0,2600.0,-1.0,-1.0,90.0,110.0,5000.0,1263.0,-1.0,1401.0,-1.0,-1.0,526.0,-1.0,1200.0,1000.0,,4103.0,869.0,600.0,33494.0,,2500.0,-1.0,-1.0,1000.0,90.0,29.0,10000.0,1700.0,4090.0,3886.0,12.0,400.0,-1.0,500.0,10000.0,462.0,94.0
2001,0.0,160.0,2150.0,2659.0,2400.0,-1.0,-1.0,90.0,110.0,4200.0,1234.0,-1.0,1468.0,-1.0,-1.0,524.0,-1.0,1198.0,1200.0,,3983.0,1000.0,600.0,33316.0,,3000.0,,19.0,2000.0,90.0,29.0,11000.0,1200.0,4090.0,4150.0,12.0,200.0,-1.0,414.0,11000.0,472.0,104.0
2002,0.0,157.0,2080.0,3800.0,2200.0,-1.0,-1.0,95.0,115.0,3000.0,1186.0,-1.0,1473.0,-1.0,-1.0,513.0,-1.0,1300.0,1400.0,,3814.0,954.0,600.0,34744.0,,3000.0,,20.0,1000.0,95.0,29.0,11000.0,3000.0,2800.0,4441.0,12.0,200.0,-1.0,440.0,11000.0,481.0,103.0
2003,0.0,155.0,2020.0,2000.0,2100.0,-1.0,-1.0,95.0,118.0,5800.0,1150.0,-1.0,1506.0,-1.0,-1.0,503.0,2300.0,1261.0,1600.0,,3952.0,991.0,600.0,37000.0,,3500.0,,21.0,400.0,95.0,29.0,11500.0,3178.0,3200.0,4719.0,12.0,186.0,-1.0,474.0,11500.0,490.0,100.0
2004,0.0,153.0,1940.0,3000.0,2100.0,-1.0,-1.0,95.0,121.0,900.0,1112.0,-1.0,1538.0,-1.0,-1.0,499.0,2100.0,1314.0,1800.0,,3870.0,1050.0,600.0,35000.0,,3300.0,,25.0,500.0,95.0,29.0,12000.0,2000.0,3156.0,5007.0,12.0,183.0,-1.0,473.0,12000.0,499.0,92.0
2005,0.0,152.0,1890.0,2900.0,1200.0,-1.0,-1.0,95.0,124.0,5000.0,1076.0,-1.0,1572.0,-1.0,-1.0,499.0,2300.0,1400.0,2000.0,,3868.0,1062.0,600.0,35002.0,,3500.0,,33.0,1000.0,95.0,29.0,13000.0,1500.0,3007.0,5276.0,12.0,55.0,-1.0,472.0,13000.0,509.0,90.0
2006,0.0,150.0,1780.0,3000.0,900.0,-1.0,-1.0,100.0,130.0,4700.0,1037.0,-1.0,1650.0,-1.0,-1.0,500.0,2200.0,1450.0,2200.0,,3460.0,1070.0,600.0,34899.0,-1.0,3716.0,,36.0,450.0,100.0,29.0,13000.0,1000.0,2953.0,5534.0,12.0,107.0,-1.0,473.0,13000.0,518.0,90.0
2007,0.0,148.0,1740.0,2707.0,900.0,-1.0,-1.0,109.0,130.0,3500.0,999.0,-1.0,1700.0,-1.0,-1.0,500.0,2100.0,1500.0,2872.0,,3650.0,1150.0,600.0,37714.0,-1.0,3800.0,,33.0,215.0,109.0,29.0,13500.0,500.0,2867.0,5774.0,12.0,307.0,-1.0,561.0,13500.0,527.0,85.0
2008,0.0,146.0,1710.0,2900.0,500.0,,-1.0,120.0,120.0,3556.0,963.0,-1.0,1720.0,-1.0,-1.0,500.0,2100.0,1600.0,2396.0,,3680.0,1200.0,600.0,38853.0,,3500.0,,26.0,205.0,120.0,29.0,14500.0,405.0,2756.0,5991.0,12.0,472.0,-1.0,559.0,14500.0,536.0,85.0
2009,0.0,144.0,1680.0,2800.0,900.0,,-1.0,121.0,132.0,1500.0,936.0,-1.0,1750.0,1533.0,-1.0,541.0,2300.0,1626.0,2654.0,,3550.0,1210.0,600.0,40289.0,,3800.0,,39.0,207.0,121.0,29.0,15000.0,572.0,2646.0,6180.0,13.0,602.0,-1.0,559.0,15000.0,546.0,95.0
2010,0.0,135.0,1630.0,3291.0,800.0,,-1.0,118.0,132.0,2400.0,894.0,-1.0,1800.0,1554.0,-1.0,499.0,2200.0,1636.0,2600.0,,3340.0,1250.0,600.0,41755.0,,4000.0,,31.0,300.0,118.0,29.0,15340.0,573.0,2536.0,6322.0,14.0,661.0,-1.0,556.0,15340.0,555.0,89.0
2011,0.0,138.0,1600.0,3035.0,711.0,,-1.0,118.0,133.0,2031.0,1066.0,-1.0,1788.0,1581.0,-1.0,485.0,2200.0,1661.0,2600.0,,3320.0,1299.0,600.0,43319.0,,4100.0,,32.0,200.0,118.0,28.0,16164.0,594.0,2427.0,6431.0,14.0,600.0,-1.0,542.0,16164.0,564.0,89.0
2012,0.0,135.0,1550.0,2900.0,592.0,,-1.0,120.0,130.0,2900.0,800.0,-1.0,1800.0,1633.0,-1.0,531.0,1900.0,1680.0,2600.0,,3331.0,1250.0,600.0,45000.0,,4482.0,,34.0,300.0,120.0,28.0,16914.0,550.0,2318.0,6500.0,14.0,600.0,-1.0,497.0,16914.0,575.0,90.0
2013,0.0,130.0,1490.0,3206.0,510.0,,-1.0,117.0,133.0,2000.0,800.0,-1.0,1793.0,1667.0,-1.0,531.0,1900.0,1715.0,2600.0,,229.0,1360.0,600.0,46500.0,,4916.0,,34.0,300.0,117.0,28.0,17457.0,530.0,2210.0,6550.0,14.0,600.0,-1.0,496.0,17457.0,575.0,89.0
2014,0.0,128.0,1450.0,3150.0,453.0,,-1.0,129.0,139.0,2500.0,769.0,-1.0,1800.0,1745.0,-1.0,533.0,1500.0,1728.0,2600.0,,224.0,1440.0,600.0,48458.0,,5297.0,,32.0,300.0,129.0,28.0,17998.0,558.0,2102.0,8229.0,14.0,600.0,-1.0,493.0,17998.0,600.0,82.0
